restaurantName,foodType,quantity,location,expirationDate,priority,contactInfo
Tasty Treats,Bread,10,New York,2025-01-25,urgent,123-456-7890
Healthy Bites,Vegetables,25,Boston,2025-01-28,normal,987-654-3210
Gourmet Kitchen,Fruits,30,Chicago,2025-01-24,urgent,456-789-1234
Spice & Curry,Rice,50,San Francisco,2025-01-27,normal,321-654-9870
The Happy Chef,Meat,20,Dallas,2025-01-26,urgent,789-123-4567
Oceanic Bounty,Fish,15,Miami,2025-01-28,normal,654-789-3210
The Bread Basket,Bakery,40,Seattle,2025-01-23,urgent,890-567-2341
Harvest Haven,Grains,60,Denver,2025-01-27,normal,567-890-1234
Farm Fresh,Dairy,25,Phoenix,2025-01-29,urgent,234-567-8901
Sunset Deli,Snacks,35,San Diego,2025-01-28,normal,901-234-5678
ambrocias,cheese,2,chennai,2025-01-30,normal,9024867060
ambrocias,wfhufw,3,dsafaq,2025-01-31,urgent,46342632