organizationName,foodType,recipientLocation,maxCapacity,urgency,contactInfo
City Shelter,Bread,New York,15,yes,101-202-3030
Green Aid,Vegetables,Boston,20,no,404-505-6060
Fruitful Hearts,Fruits,Chicago,25,yes,707-808-9090
Rice Relief,Rice,San Francisco,30,no,606-707-8080
Meat Mission,Meat,Dallas,15,yes,909-101-2020
Ocean Aid,Fish,Miami,20,no,202-303-4040
Bread & Beyond,Bakery,Seattle,35,yes,303-404-5050
Grain Gatherers,Grains,Denver,40,no,505-606-7070
Dairy Donations,Dairy,Phoenix,20,yes,808-909-1010
Snack Squad,Snacks,San Diego,25,no,909-202-3030
harshngo,cheese,chennai,4,no,9247274289